Campaign,Day,Cost,Conversions,Conv. value,Clicks,Impressions
Search - Brand,2026-06-01,266.34,9,1069.49,197,31313
Search - Generic,2026-06-01,227.02,6,735.92,133,44491
PMax,2026-06-01,248.85,6,734.31,129,47840
Search - Brand,2026-06-02,266.92,9,1122.17,180,53033
Search - Generic,2026-06-02,254.97,7,900.32,144,53848
PMax,2026-06-02,261.36,7,867.13,168,45101
Search - Brand,2026-06-03,247.59,8,895.96,187,20721
Search - Generic,2026-06-03,229.12,6,686.91,120,19966
PMax,2026-06-03,286.77,7,906.84,146,23960
Search - Brand,2026-06-04,221.77,7,971.87,151,57871
Search - Generic,2026-06-04,269.08,8,916.61,159,47353
PMax,2026-06-04,276.33,7,789.68,150,15243
Search - Brand,2026-06-05,215.4,6,713.52,132,32741
Search - Generic,2026-06-05,261.86,7,870.48,162,29242
PMax,2026-06-05,234.0,7,885.96,177,21976
Search - Brand,2026-06-06,220.21,6,670.66,163,45022
Search - Generic,2026-06-06,240.44,6,700.42,124,23092
PMax,2026-06-06,259.78,7,884.82,132,15850
Search - Brand,2026-06-07,296.46,8,1078.64,152,40968
Search - Generic,2026-06-07,305.19,7,781.38,165,36186
PMax,2026-06-07,301.89,9,1196.19,249,47658
Search - Brand,2026-06-08,278.13,8,1109.53,230,53645
Search - Generic,2026-06-08,284.62,6,733.0,148,51151
PMax,2026-06-08,223.45,6,814.45,154,59476
Search - Brand,2026-06-09,232.07,8,1053.06,190,34754
Search - Generic,2026-06-09,237.5,5,596.12,134,37186
PMax,2026-06-09,299.84,7,848.12,188,41270
Search - Brand,2026-06-10,318.12,7,851.2,162,41758
Search - Generic,2026-06-10,228.51,6,698.22,155,34963
PMax,2026-06-10,263.18,8,1057.29,163,21230
Search - Brand,2026-06-11,228.37,7,932.63,160,22255
Search - Generic,2026-06-11,284.73,8,1001.02,149,45149
PMax,2026-06-11,256.02,6,779.28,184,38638
Search - Brand,2026-06-12,244.31,5,572.4,125,47658
Search - Generic,2026-06-12,257.71,6,670.17,197,21369
PMax,2026-06-12,256.6,8,927.73,132,23410
Search - Brand,2026-06-13,217.42,5,567.31,110,59206
Search - Generic,2026-06-13,318.21,8,1080.48,183,45312
PMax,2026-06-13,257.49,6,697.48,155,43466
Search - Brand,2026-06-14,268.54,7,897.05,143,31493
Search - Generic,2026-06-14,235.28,7,818.2,156,39747
PMax,2026-06-14,294.78,7,841.94,165,47424
Search - Brand,2026-06-15,267.73,7,868.88,171,28803
Search - Generic,2026-06-15,303.25,7,939.15,157,25682
PMax,2026-06-15,253.15,7,964.53,142,20670
Search - Brand,2026-06-16,219.27,6,794.71,120,39787
Search - Generic,2026-06-16,277.59,8,1042.6,214,48932
PMax,2026-06-16,262.44,8,1052.59,191,49453
Search - Brand,2026-06-17,276.22,9,1172.91,151,32715
Search - Generic,2026-06-17,275.88,8,962.33,140,24063
PMax,2026-06-17,221.67,6,739.44,119,38014
Search - Brand,2026-06-18,218.04,5,691.69,163,54376
Search - Generic,2026-06-18,261.92,9,1043.48,135,50691
PMax,2026-06-18,218.88,6,810.11,115,22459
Search - Brand,2026-06-19,277.17,8,910.2,198,25457
Search - Generic,2026-06-19,277.94,9,1174.21,219,15064
PMax,2026-06-19,264.63,6,714.96,170,46383
Search - Brand,2026-06-20,250.68,7,835.14,190,41391
Search - Generic,2026-06-20,243.88,7,908.65,150,51635
PMax,2026-06-20,272.22,9,1109.12,144,56033
Search - Brand,2026-06-21,214.41,6,745.46,139,53861
Search - Generic,2026-06-21,253.94,6,819.97,210,57865
PMax,2026-06-21,288.27,8,990.99,211,41841
Search - Brand,2026-06-22,275.21,8,1028.58,204,42775
Search - Generic,2026-06-22,232.74,5,688.91,188,44328
PMax,2026-06-22,229.89,7,895.31,150,44123
Search - Brand,2026-06-23,252.6,6,769.6,181,59836
Search - Generic,2026-06-23,307.25,8,1017.75,233,43786
PMax,2026-06-23,224.71,6,814.25,165,45959
Search - Brand,2026-06-24,302.75,7,903.47,225,28525
Search - Generic,2026-06-24,297.68,8,1030.33,247,30480
PMax,2026-06-24,317.78,7,785.27,193,50089
Search - Brand,2026-06-25,284.29,7,877.42,152,30849
Search - Generic,2026-06-25,304.35,7,773.68,198,59755
PMax,2026-06-25,262.07,6,747.46,174,55383
Search - Brand,2026-06-26,291.05,7,773.77,174,41682
Search - Generic,2026-06-26,216.12,7,964.45,135,38080
PMax,2026-06-26,257.66,7,809.02,139,26722
Search - Brand,2026-06-27,287.22,7,922.91,197,22643
Search - Generic,2026-06-27,229.91,7,834.52,124,15251
PMax,2026-06-27,216.41,5,659.71,113,45150
Search - Brand,2026-06-28,306.97,7,817.84,229,38185
Search - Generic,2026-06-28,276.48,7,917.98,148,41661
PMax,2026-06-28,220.77,6,826.92,184,45564
Search - Brand,2026-06-29,248.77,7,977.21,139,29638
Search - Generic,2026-06-29,225.52,6,710.93,136,26696
PMax,2026-06-29,306.2,9,1011.18,181,26085
Search - Brand,2026-06-30,219.41,6,777.22,121,19293
Search - Generic,2026-06-30,217.27,7,828.57,131,51927
PMax,2026-06-30,318.12,9,1154.3,257,58921
