Campaign,Day,Cost,Conversions,Conv. value,Clicks,Impressions
Search - Brand,2026-05-01,245.25,8,1035.75,152,49416
Search - Generic,2026-05-01,273.31,7,882.03,146,23510
PMax,2026-05-01,244.57,7,859.69,140,43698
Search - Brand,2026-05-02,276.68,8,1020.35,161,50177
Search - Generic,2026-05-02,230.68,6,742.16,170,30272
PMax,2026-05-02,213.27,7,875.75,151,18980
Search - Brand,2026-05-03,205.4,5,589.39,129,53124
Search - Generic,2026-05-03,231.23,5,651.82,124,17545
PMax,2026-05-03,262.25,6,758.93,168,19666
Search - Brand,2026-05-04,196.46,4,492.1,159,20400
Search - Generic,2026-05-04,247.92,7,808.7,136,24584
PMax,2026-05-04,265.08,7,771.36,182,17906
Search - Brand,2026-05-05,243.68,7,976.52,136,15218
Search - Generic,2026-05-05,223.56,7,883.64,152,18568
PMax,2026-05-05,267.15,9,1052.28,153,53340
Search - Brand,2026-05-06,290.94,7,949.17,191,44714
Search - Generic,2026-05-06,240.59,8,1105.14,187,24844
PMax,2026-05-06,227.97,5,599.33,121,36134
Search - Brand,2026-05-07,226.58,5,554.55,123,40847
Search - Generic,2026-05-07,253.96,6,763.29,182,41874
PMax,2026-05-07,220.39,5,667.95,144,34776
Search - Brand,2026-05-08,219.22,6,710.14,130,17617
Search - Generic,2026-05-08,227.88,7,856.52,164,16309
PMax,2026-05-08,216.88,5,672.99,114,30199
Search - Brand,2026-05-09,243.75,7,950.61,145,45301
Search - Generic,2026-05-09,207.06,5,574.96,153,33902
PMax,2026-05-09,275.55,6,815.79,184,56035
Search - Brand,2026-05-10,251.84,7,929.45,158,36322
Search - Generic,2026-05-10,225.65,6,672.27,181,22297
PMax,2026-05-10,230.43,6,837.42,130,25186
Search - Brand,2026-05-11,284.56,7,865.05,159,35990
Search - Generic,2026-05-11,222.51,5,639.41,136,21080
PMax,2026-05-11,269.1,8,1067.9,170,24861
Search - Brand,2026-05-12,211.97,5,602.25,126,47820
Search - Generic,2026-05-12,244.5,6,731.33,137,50107
PMax,2026-05-12,275.72,6,758.63,205,23640
Search - Brand,2026-05-13,275.17,9,1065.59,176,28870
Search - Generic,2026-05-13,211.2,6,660.3,139,26708
PMax,2026-05-13,262.58,9,1054.02,203,36815
Search - Brand,2026-05-14,206.25,7,925.84,123,48779
Search - Generic,2026-05-14,210.79,5,677.27,106,52724
PMax,2026-05-14,221.63,5,623.61,130,20471
Search - Brand,2026-05-15,290.26,7,783.25,223,57702
Search - Generic,2026-05-15,222.97,5,574.53,153,37880
PMax,2026-05-15,253.23,6,674.45,210,33990
Search - Brand,2026-05-16,255.4,8,993.96,161,22232
Search - Generic,2026-05-16,274.55,6,721.14,154,39840
PMax,2026-05-16,259.13,7,928.3,178,36692
Search - Brand,2026-05-17,231.13,6,684.57,169,27505
Search - Generic,2026-05-17,229.2,6,696.69,179,44405
PMax,2026-05-17,256.28,6,756.2,149,42603
Search - Brand,2026-05-18,230.43,7,923.66,132,35532
Search - Generic,2026-05-18,225.91,6,787.03,170,40369
PMax,2026-05-18,230.83,6,662.23,131,56487
Search - Brand,2026-05-19,232.32,5,576.62,173,59562
Search - Generic,2026-05-19,256.56,7,866.28,205,57005
PMax,2026-05-19,238.02,7,924.15,154,31155
Search - Brand,2026-05-20,234.15,7,829.79,138,22556
Search - Generic,2026-05-20,205.44,5,665.04,123,25545
PMax,2026-05-20,265.58,7,913.99,136,32177
Search - Brand,2026-05-21,274.97,7,838.23,224,49703
Search - Generic,2026-05-21,203.81,5,553.9,122,59968
PMax,2026-05-21,248.95,7,930.81,189,57905
Search - Brand,2026-05-22,271.46,8,991.58,217,22073
Search - Generic,2026-05-22,196.86,6,781.83,123,17765
PMax,2026-05-22,288.5,10,1322.64,156,40178
Search - Brand,2026-05-23,283.9,7,937.34,152,57322
Search - Generic,2026-05-23,278.8,7,935.25,147,31666
PMax,2026-05-23,216.52,7,933.93,148,33023
Search - Brand,2026-05-24,243.82,7,775.27,126,52285
Search - Generic,2026-05-24,279.25,7,969.08,148,48700
PMax,2026-05-24,248.25,6,686.69,133,55927
Search - Brand,2026-05-25,259.14,7,838.73,155,15122
Search - Generic,2026-05-25,276.11,7,852.31,193,41604
PMax,2026-05-25,237.78,7,969.09,195,15178
Search - Brand,2026-05-26,261.83,8,893.83,135,15908
Search - Generic,2026-05-26,255.08,8,1020.25,171,26022
PMax,2026-05-26,240.94,6,785.45,171,16273
Search - Brand,2026-05-27,196.11,5,682.22,98,28303
Search - Generic,2026-05-27,202.98,6,702.25,103,59473
PMax,2026-05-27,224.17,6,834.27,140,35761
Search - Brand,2026-05-28,201.34,6,731.76,144,51639
Search - Generic,2026-05-28,246.43,8,889.42,137,48097
PMax,2026-05-28,244.72,6,839.31,145,32894
Search - Brand,2026-05-29,276.84,7,887.13,179,56135
Search - Generic,2026-05-29,274.08,6,677.83,205,53017
PMax,2026-05-29,243.22,6,799.0,141,15138
Search - Brand,2026-05-30,283.91,6,691.51,160,20589
Search - Generic,2026-05-30,216.92,7,800.57,135,34571
PMax,2026-05-30,240.97,6,783.68,130,50793
