Campaign name,Day,Amount spent (USD),Purchases,Purchases conversion value,Link clicks,Impressions
Prospecting - Broad,2026-06-01,694.2,14,1962.85,661,72544
Retargeting - 30d,2026-06-01,630.31,14,2012.88,572,63676
Advantage+ Shopping,2026-06-01,505.03,11,1325.53,427,62527
Prospecting - Broad,2026-06-02,926.5,24,3498.05,719,65416
Retargeting - 30d,2026-06-02,557.26,11,1540.54,454,75662
Advantage+ Shopping,2026-06-02,629.48,12,1668.1,462,29423
Prospecting - Broad,2026-06-03,758.19,19,2436.49,647,59146
Retargeting - 30d,2026-06-03,684.29,15,2079.57,498,46241
Advantage+ Shopping,2026-06-03,568.2,14,1792.89,450,67641
Prospecting - Broad,2026-06-04,677.69,18,2341.44,645,25322
Retargeting - 30d,2026-06-04,747.49,17,2405.18,806,47079
Advantage+ Shopping,2026-06-04,566.06,11,1410.64,591,59956
Prospecting - Broad,2026-06-05,821.55,16,2095.28,610,74547
Retargeting - 30d,2026-06-05,583.0,15,2082.15,468,36779
Advantage+ Shopping,2026-06-05,625.57,15,1896.25,634,55239
Prospecting - Broad,2026-06-06,938.7,23,3263.95,737,67964
Retargeting - 30d,2026-06-06,625.18,14,1772.95,562,68809
Advantage+ Shopping,2026-06-06,435.73,10,1294.46,336,27642
Prospecting - Broad,2026-06-07,649.79,16,2008.35,487,38616
Retargeting - 30d,2026-06-07,743.94,17,2091.59,602,41801
Advantage+ Shopping,2026-06-07,487.4,10,1443.38,359,60603
Prospecting - Broad,2026-06-08,694.0,15,1978.54,579,59270
Retargeting - 30d,2026-06-08,592.46,13,1861.19,458,67864
Advantage+ Shopping,2026-06-08,560.85,15,2005.7,511,62749
Prospecting - Broad,2026-06-09,643.12,14,1985.24,474,75596
Retargeting - 30d,2026-06-09,685.43,14,1908.14,706,66834
Advantage+ Shopping,2026-06-09,465.49,12,1756.1,392,27174
Prospecting - Broad,2026-06-10,726.29,16,2346.35,806,37653
Retargeting - 30d,2026-06-10,585.63,13,1627.16,486,48481
Advantage+ Shopping,2026-06-10,514.27,13,1836.83,376,20103
Prospecting - Broad,2026-06-11,902.71,23,3267.94,872,37452
Retargeting - 30d,2026-06-11,735.12,18,2289.4,603,39273
Advantage+ Shopping,2026-06-11,534.02,12,1786.99,483,32979
Prospecting - Broad,2026-06-12,916.27,24,3268.91,911,67204
Retargeting - 30d,2026-06-12,524.4,13,1575.16,442,53780
Advantage+ Shopping,2026-06-12,512.17,12,1614.3,422,25238
Prospecting - Broad,2026-06-13,908.33,22,2680.01,671,20259
Retargeting - 30d,2026-06-13,543.56,13,1592.71,531,29145
Advantage+ Shopping,2026-06-13,605.25,13,1731.7,586,51992
Prospecting - Broad,2026-06-14,789.27,16,1942.04,855,63659
Retargeting - 30d,2026-06-14,563.6,13,1880.89,495,73827
Advantage+ Shopping,2026-06-14,424.94,10,1293.89,357,22163
Prospecting - Broad,2026-06-15,733.79,14,1898.85,554,74730
Retargeting - 30d,2026-06-15,650.1,13,1629.44,600,33372
Advantage+ Shopping,2026-06-15,593.54,12,1692.34,561,63493
Prospecting - Broad,2026-06-16,825.32,19,2728.08,815,35775
Retargeting - 30d,2026-06-16,688.35,18,2200.09,647,61365
Advantage+ Shopping,2026-06-16,546.3,11,1617.85,541,26090
Prospecting - Broad,2026-06-17,911.96,23,2899.27,731,55504
Retargeting - 30d,2026-06-17,542.56,12,1458.65,525,45439
Advantage+ Shopping,2026-06-17,599.55,13,1898.0,592,42370
Prospecting - Broad,2026-06-18,883.22,22,3121.49,949,68856
Retargeting - 30d,2026-06-18,773.38,17,2522.31,772,30142
Advantage+ Shopping,2026-06-18,607.43,12,1496.42,450,68439
Prospecting - Broad,2026-06-19,854.76,17,2284.14,662,45618
Retargeting - 30d,2026-06-19,525.55,13,1769.22,517,34304
Advantage+ Shopping,2026-06-19,618.34,15,2217.41,676,76831
Prospecting - Broad,2026-06-20,804.32,17,2136.07,618,69989
Retargeting - 30d,2026-06-20,661.0,13,1857.7,587,26597
Advantage+ Shopping,2026-06-20,522.18,11,1633.48,387,42231
Prospecting - Broad,2026-06-21,656.35,16,2073.38,669,39545
Retargeting - 30d,2026-06-21,604.76,12,1445.86,511,50019
Advantage+ Shopping,2026-06-21,486.79,10,1272.86,515,59334
Prospecting - Broad,2026-06-22,640.68,13,1865.46,590,34657
Retargeting - 30d,2026-06-22,537.85,14,1840.63,563,35154
Advantage+ Shopping,2026-06-22,492.58,10,1274.61,462,56956
Prospecting - Broad,2026-06-23,707.07,16,2256.27,554,26975
Retargeting - 30d,2026-06-23,600.97,13,1879.91,607,67105
Advantage+ Shopping,2026-06-23,577.78,13,1664.36,580,76999
Prospecting - Broad,2026-06-24,685.81,15,1980.94,531,59043
Retargeting - 30d,2026-06-24,714.1,17,2482.25,651,51065
Advantage+ Shopping,2026-06-24,450.96,9,1104.81,356,25786
Prospecting - Broad,2026-06-25,630.09,13,1631.8,472,28350
Retargeting - 30d,2026-06-25,778.63,16,2106.83,575,57303
Advantage+ Shopping,2026-06-25,584.46,12,1717.49,569,43003
Prospecting - Broad,2026-06-26,868.77,18,2241.18,782,40855
Retargeting - 30d,2026-06-26,619.13,16,2258.27,560,65186
Advantage+ Shopping,2026-06-26,499.94,13,1834.86,412,25118
Prospecting - Broad,2026-06-27,933.02,19,2738.67,687,30534
Retargeting - 30d,2026-06-27,701.84,18,2307.48,689,21417
Advantage+ Shopping,2026-06-27,456.34,10,1290.79,477,57381
Prospecting - Broad,2026-06-28,703.05,17,2098.68,691,75756
Retargeting - 30d,2026-06-28,627.1,14,1681.65,630,50376
Advantage+ Shopping,2026-06-28,501.51,10,1224.03,453,78002
Prospecting - Broad,2026-06-29,674.51,17,2320.54,731,66719
Retargeting - 30d,2026-06-29,707.0,17,2386.8,576,75051
Advantage+ Shopping,2026-06-29,589.5,15,2079.67,433,57906
Prospecting - Broad,2026-06-30,740.55,17,2311.16,533,77613
Retargeting - 30d,2026-06-30,608.04,12,1740.93,560,58601
Advantage+ Shopping,2026-06-30,427.29,10,1202.78,310,72599
