Campaign name,Day,Amount spent (USD),Purchases,Purchases conversion value,Link clicks,Impressions
Prospecting - Broad,2026-05-01,737.07,14,2054.82,783,58799
Retargeting - 30d,2026-05-01,387.53,9,1176.68,307,37523
Advantage+ Shopping,2026-05-01,342.24,8,1069.21,375,25621
Prospecting - Broad,2026-05-02,751.28,17,2049.99,619,48265
Retargeting - 30d,2026-05-02,396.31,10,1434.93,332,63116
Advantage+ Shopping,2026-05-02,304.07,7,994.39,257,76370
Prospecting - Broad,2026-05-03,596.91,13,1817.61,565,25618
Retargeting - 30d,2026-05-03,472.8,12,1613.91,365,64284
Advantage+ Shopping,2026-05-03,369.93,9,1128.21,348,73469
Prospecting - Broad,2026-05-04,635.06,14,1714.58,571,57225
Retargeting - 30d,2026-05-04,382.29,8,1156.96,359,44225
Advantage+ Shopping,2026-05-04,406.02,9,1321.53,360,34306
Prospecting - Broad,2026-05-05,569.12,14,2009.2,454,74300
Retargeting - 30d,2026-05-05,418.83,10,1242.74,329,26576
Advantage+ Shopping,2026-05-05,412.37,10,1492.5,444,47277
Prospecting - Broad,2026-05-06,603.13,15,1901.53,665,34562
Retargeting - 30d,2026-05-06,471.23,9,1225.42,338,69087
Advantage+ Shopping,2026-05-06,292.99,8,1149.17,256,22424
Prospecting - Broad,2026-05-07,523.12,12,1510.79,383,39375
Retargeting - 30d,2026-05-07,372.28,9,1222.82,378,55628
Advantage+ Shopping,2026-05-07,358.12,9,1107.0,365,20771
Prospecting - Broad,2026-05-08,616.06,14,2054.78,471,78666
Retargeting - 30d,2026-05-08,439.66,9,1098.79,319,78826
Advantage+ Shopping,2026-05-08,369.53,9,1159.72,334,70571
Prospecting - Broad,2026-05-09,720.83,15,1823.18,691,21658
Retargeting - 30d,2026-05-09,442.05,10,1367.81,335,36276
Advantage+ Shopping,2026-05-09,303.15,6,780.82,244,27447
Prospecting - Broad,2026-05-10,563.24,12,1609.46,501,67079
Retargeting - 30d,2026-05-10,381.72,9,1086.38,277,69098
Advantage+ Shopping,2026-05-10,401.43,10,1404.34,407,49446
Prospecting - Broad,2026-05-11,691.95,13,1723.79,666,59147
Retargeting - 30d,2026-05-11,451.75,10,1366.76,388,39516
Advantage+ Shopping,2026-05-11,317.16,6,760.77,341,78330
Prospecting - Broad,2026-05-12,629.45,13,1822.61,523,39112
Retargeting - 30d,2026-05-12,450.45,10,1441.42,434,42365
Advantage+ Shopping,2026-05-12,302.46,8,1172.85,245,69539
Prospecting - Broad,2026-05-13,643.55,15,1925.13,681,34238
Retargeting - 30d,2026-05-13,486.06,9,1119.49,448,60662
Advantage+ Shopping,2026-05-13,344.78,9,1232.83,308,76248
Prospecting - Broad,2026-05-14,513.33,10,1233.39,401,56955
Retargeting - 30d,2026-05-14,442.54,11,1586.37,426,43740
Advantage+ Shopping,2026-05-14,359.14,8,1147.22,363,53361
Prospecting - Broad,2026-05-15,603.72,13,1674.3,643,79976
Retargeting - 30d,2026-05-15,453.0,10,1212.3,472,68868
Advantage+ Shopping,2026-05-15,305.56,8,1106.64,315,67965
Prospecting - Broad,2026-05-16,578.22,11,1417.36,446,23111
Retargeting - 30d,2026-05-16,474.03,10,1377.42,446,28787
Advantage+ Shopping,2026-05-16,329.07,8,1011.42,238,40758
Prospecting - Broad,2026-05-17,694.9,17,2339.36,507,63477
Retargeting - 30d,2026-05-17,396.8,8,1138.75,291,40436
Advantage+ Shopping,2026-05-17,343.91,7,1040.69,282,43370
Prospecting - Broad,2026-05-18,599.79,12,1739.17,652,45890
Retargeting - 30d,2026-05-18,394.84,10,1395.23,403,40700
Advantage+ Shopping,2026-05-18,336.95,9,1165.23,303,73932
Prospecting - Broad,2026-05-19,544.39,11,1440.96,395,22298
Retargeting - 30d,2026-05-19,448.69,10,1251.94,342,57723
Advantage+ Shopping,2026-05-19,349.75,9,1322.61,288,73333
Prospecting - Broad,2026-05-20,657.29,13,1942.7,534,48196
Retargeting - 30d,2026-05-20,500.83,11,1321.04,411,36684
Advantage+ Shopping,2026-05-20,288.0,7,922.01,208,68534
Prospecting - Broad,2026-05-21,673.27,13,1900.82,535,29410
Retargeting - 30d,2026-05-21,437.2,11,1514.07,378,55553
Advantage+ Shopping,2026-05-21,385.13,8,1061.64,310,62038
Prospecting - Broad,2026-05-22,705.26,18,2169.58,608,33668
Retargeting - 30d,2026-05-22,425.31,10,1304.16,306,37600
Advantage+ Shopping,2026-05-22,378.52,9,1326.31,277,55513
Prospecting - Broad,2026-05-23,578.4,11,1327.33,447,57337
Retargeting - 30d,2026-05-23,468.31,10,1219.0,363,29153
Advantage+ Shopping,2026-05-23,373.39,9,1328.65,270,27261
Prospecting - Broad,2026-05-24,744.73,16,2318.05,539,22215
Retargeting - 30d,2026-05-24,456.95,9,1250.62,395,37830
Advantage+ Shopping,2026-05-24,356.25,8,1112.44,394,32939
Prospecting - Broad,2026-05-25,735.97,16,2245.08,599,28630
Retargeting - 30d,2026-05-25,365.58,9,1096.53,297,29325
Advantage+ Shopping,2026-05-25,316.4,6,828.01,289,22986
Prospecting - Broad,2026-05-26,647.46,14,2015.15,531,29133
Retargeting - 30d,2026-05-26,360.45,9,1254.4,263,56551
Advantage+ Shopping,2026-05-26,406.56,9,1310.42,432,41375
Prospecting - Broad,2026-05-27,576.1,12,1452.41,586,40130
Retargeting - 30d,2026-05-27,471.1,10,1242.88,486,58226
Advantage+ Shopping,2026-05-27,373.68,9,1306.4,293,32890
Prospecting - Broad,2026-05-28,708.01,16,2177.64,592,78471
Retargeting - 30d,2026-05-28,470.47,9,1151.88,392,73941
Advantage+ Shopping,2026-05-28,361.81,7,1015.83,283,27545
Prospecting - Broad,2026-05-29,632.07,15,1892.31,549,41918
Retargeting - 30d,2026-05-29,465.07,12,1529.18,429,78009
Advantage+ Shopping,2026-05-29,339.52,8,1094.08,262,41975
Prospecting - Broad,2026-05-30,513.66,11,1646.98,399,68247
Retargeting - 30d,2026-05-30,481.19,12,1574.18,525,22336
Advantage+ Shopping,2026-05-30,342.54,9,1330.48,332,68393
