Name,Financial Status,Paid at,Currency,Total,Refunded Amount,Referring Site
#1001,paid,2026-06-01 12:00:00 +0000,USD,147.59,,https://l.facebook.com/
#1002,paid,2026-06-01 12:00:00 +0000,USD,124.91,,https://www.google.com/
#1003,paid,2026-06-01 12:00:00 +0000,USD,160.88,,https://l.facebook.com/
#1004,paid,2026-06-01 12:00:00 +0000,USD,90.89,,https://l.facebook.com/
#1005,paid,2026-06-01 12:00:00 +0000,USD,120.17,,
#1006,paid,2026-06-01 12:00:00 +0000,USD,71.36,,https://www.google.com/
#1007,paid,2026-06-01 12:00:00 +0000,USD,148.26,,https://l.facebook.com/
#1008,paid,2026-06-01 12:00:00 +0000,USD,116.03,,https://www.google.com/
#1009,refunded,2026-06-01 12:00:00 +0000,USD,116.31,116.31,
#1010,paid,2026-06-01 12:00:00 +0000,USD,113.93,,
#1011,paid,2026-06-01 12:00:00 +0000,USD,74.57,,https://l.facebook.com/
#1012,refunded,2026-06-01 12:00:00 +0000,USD,106.98,106.98,https://l.facebook.com/
#1013,paid,2026-06-01 12:00:00 +0000,USD,132.34,,
#1014,paid,2026-06-01 12:00:00 +0000,USD,182.93,,
#1015,paid,2026-06-01 12:00:00 +0000,USD,162.9,,https://www.google.com/
#1016,paid,2026-06-01 12:00:00 +0000,USD,174.7,,https://l.facebook.com/
#1017,paid,2026-06-01 12:00:00 +0000,USD,150.43,,
#1018,paid,2026-06-01 12:00:00 +0000,USD,187.58,,https://www.google.com/
#1019,paid,2026-06-01 12:00:00 +0000,USD,111.74,,
#1020,paid,2026-06-01 12:00:00 +0000,USD,116.63,,https://www.google.com/
#1021,refunded,2026-06-01 12:00:00 +0000,USD,82.84,82.84,https://www.google.com/
#1022,paid,2026-06-01 12:00:00 +0000,USD,182.45,,https://www.google.com/
#1023,paid,2026-06-01 12:00:00 +0000,USD,183.93,,https://www.google.com/
#1024,paid,2026-06-01 12:00:00 +0000,USD,91.0,,
#1025,paid,2026-06-01 12:00:00 +0000,USD,152.51,,https://l.facebook.com/
#1026,paid,2026-06-01 12:00:00 +0000,USD,126.09,,
#1027,paid,2026-06-01 12:00:00 +0000,USD,188.76,,https://l.facebook.com/
#1028,paid,2026-06-01 12:00:00 +0000,USD,147.92,,https://l.facebook.com/
#1029,paid,2026-06-01 12:00:00 +0000,USD,143.89,,https://www.google.com/
#1030,paid,2026-06-01 12:00:00 +0000,USD,196.85,,
#1031,paid,2026-06-01 12:00:00 +0000,USD,127.91,,https://l.facebook.com/
#1032,paid,2026-06-01 12:00:00 +0000,USD,167.55,,
#1033,paid,2026-06-01 12:00:00 +0000,USD,114.65,,https://l.facebook.com/
#1034,paid,2026-06-01 12:00:00 +0000,USD,195.67,,https://l.facebook.com/
#1035,paid,2026-06-01 12:00:00 +0000,USD,132.95,,https://www.google.com/
#1036,paid,2026-06-02 12:00:00 +0000,USD,75.81,,https://www.google.com/
#1037,paid,2026-06-02 12:00:00 +0000,USD,197.83,,https://l.facebook.com/
#1038,paid,2026-06-02 12:00:00 +0000,USD,183.08,,
#1039,paid,2026-06-02 12:00:00 +0000,USD,179.6,,https://l.facebook.com/
#1040,paid,2026-06-02 12:00:00 +0000,USD,140.3,,https://l.facebook.com/
#1041,paid,2026-06-02 12:00:00 +0000,USD,192.07,,https://l.facebook.com/
#1042,paid,2026-06-02 12:00:00 +0000,USD,96.2,,https://www.google.com/
