Name,Financial Status,Paid at,Currency,Total,Refunded Amount,Referring Site
#1001,paid,2026-05-01 12:00:00 +0000,USD,171.0,,https://l.facebook.com/
#1002,paid,2026-05-01 12:00:00 +0000,USD,70.4,,https://www.google.com/
#1003,paid,2026-05-01 12:00:00 +0000,USD,123.39,,https://l.facebook.com/
#1004,paid,2026-05-01 12:00:00 +0000,USD,184.04,,
#1005,paid,2026-05-01 12:00:00 +0000,USD,91.3,,https://www.google.com/
#1006,paid,2026-05-01 12:00:00 +0000,USD,141.32,,
#1007,paid,2026-05-01 12:00:00 +0000,USD,102.03,,https://l.facebook.com/
#1008,paid,2026-05-01 12:00:00 +0000,USD,192.64,,
#1009,paid,2026-05-01 12:00:00 +0000,USD,126.02,,
#1010,paid,2026-05-01 12:00:00 +0000,USD,146.34,,https://www.google.com/
#1011,paid,2026-05-01 12:00:00 +0000,USD,70.08,,https://l.facebook.com/
#1012,paid,2026-05-01 12:00:00 +0000,USD,189.99,,https://www.google.com/
#1013,paid,2026-05-01 12:00:00 +0000,USD,126.54,,https://l.facebook.com/
#1014,paid,2026-05-01 12:00:00 +0000,USD,171.61,,
#1015,paid,2026-05-01 12:00:00 +0000,USD,129.18,,https://www.google.com/
#1016,paid,2026-05-01 12:00:00 +0000,USD,183.36,,
#1017,paid,2026-05-01 12:00:00 +0000,USD,148.46,,https://l.facebook.com/
#1018,paid,2026-05-01 12:00:00 +0000,USD,72.79,,https://www.google.com/
#1019,paid,2026-05-01 12:00:00 +0000,USD,75.0,,
#1020,paid,2026-05-01 12:00:00 +0000,USD,159.51,,https://l.facebook.com/
#1021,paid,2026-05-01 12:00:00 +0000,USD,141.99,,https://l.facebook.com/
#1022,paid,2026-05-01 12:00:00 +0000,USD,154.96,,https://www.google.com/
#1023,paid,2026-05-01 12:00:00 +0000,USD,199.23,,https://l.facebook.com/
#1024,paid,2026-05-01 12:00:00 +0000,USD,119.73,,https://l.facebook.com/
#1025,paid,2026-05-01 12:00:00 +0000,USD,155.06,,
#1026,refunded,2026-05-01 12:00:00 +0000,USD,90.67,90.67,https://www.google.com/
#1027,paid,2026-05-01 12:00:00 +0000,USD,137.08,,https://l.facebook.com/
#1028,paid,2026-05-01 12:00:00 +0000,USD,168.77,,
#1029,paid,2026-05-01 12:00:00 +0000,USD,172.55,,https://www.google.com/
#1030,paid,2026-05-01 12:00:00 +0000,USD,161.97,,https://l.facebook.com/
#1031,paid,2026-05-01 12:00:00 +0000,USD,176.33,,https://l.facebook.com/
#1032,paid,2026-05-01 12:00:00 +0000,USD,128.79,,https://l.facebook.com/
#1033,paid,2026-05-01 12:00:00 +0000,USD,147.49,,https://l.facebook.com/
#1034,paid,2026-05-01 12:00:00 +0000,USD,169.68,,https://l.facebook.com/
#1035,paid,2026-05-01 12:00:00 +0000,USD,121.33,,
#1036,paid,2026-05-01 12:00:00 +0000,USD,72.28,,
#1037,paid,2026-05-01 12:00:00 +0000,USD,142.53,,
#1038,paid,2026-05-01 12:00:00 +0000,USD,94.59,,https://l.facebook.com/
#1039,paid,2026-05-02 12:00:00 +0000,USD,113.71,,https://www.google.com/
