Campaign name,Day,Amount spent (USD),Purchases,Purchases (click),Purchases (view),Purchases conversion value,Impressions
Prospecting - Broad,2026-06-01,915.86,13,11,2,1920.44,101033
Retargeting - 30d,2026-06-01,831.18,11,5,6,1382.67,107096
Advantage+ Shopping,2026-06-01,629.55,9,7,2,1130.27,98535
Prospecting - Broad,2026-06-02,770.27,12,10,2,1731.47,45489
Retargeting - 30d,2026-06-02,713.69,12,6,6,1603.08,60643
Advantage+ Shopping,2026-06-02,675.17,10,8,2,1218.95,44673
Prospecting - Broad,2026-06-03,817.22,11,9,2,1329.93,100808
Retargeting - 30d,2026-06-03,763.57,10,5,5,1258.6,70624
Advantage+ Shopping,2026-06-03,605.63,10,8,2,1398.73,99943
Prospecting - Broad,2026-06-04,868.38,15,12,3,2048.07,50905
Retargeting - 30d,2026-06-04,692.98,12,6,6,1522.68,77885
Advantage+ Shopping,2026-06-04,618.91,7,5,2,862.66,54129
Prospecting - Broad,2026-06-05,862.09,16,13,3,2379.86,40071
Retargeting - 30d,2026-06-05,849.62,10,5,5,1215.7,89212
Advantage+ Shopping,2026-06-05,584.19,11,8,3,1344.1,66016
Prospecting - Broad,2026-06-06,825.86,15,12,3,1839.21,83592
Retargeting - 30d,2026-06-06,717.25,8,4,4,1181.48,57641
Advantage+ Shopping,2026-06-06,522.11,8,6,2,974.37,103808
Prospecting - Broad,2026-06-07,915.71,11,9,2,1467.65,64993
Retargeting - 30d,2026-06-07,809.29,14,7,7,1856.08,90299
Advantage+ Shopping,2026-06-07,589.08,7,5,2,884.7,75362
Prospecting - Broad,2026-06-08,1044.68,16,13,3,2204.52,42573
Retargeting - 30d,2026-06-08,713.21,10,5,5,1456.31,115623
Advantage+ Shopping,2026-06-08,708.18,7,5,2,884.78,73852
Prospecting - Broad,2026-06-09,931.55,10,8,2,1449.09,90616
Retargeting - 30d,2026-06-09,635.33,9,4,5,1237.34,71852
Advantage+ Shopping,2026-06-09,578.17,7,5,2,970.65,56675
Prospecting - Broad,2026-06-10,892.26,17,14,3,2333.03,90606
Retargeting - 30d,2026-06-10,651.72,9,4,5,1325.27,72702
Advantage+ Shopping,2026-06-10,534.14,10,8,2,1388.69,112604
Prospecting - Broad,2026-06-11,1037.0,11,9,2,1611.12,119106
Retargeting - 30d,2026-06-11,624.4,9,4,5,1109.44,107155
Advantage+ Shopping,2026-06-11,550.88,11,8,3,1552.51,73683
Prospecting - Broad,2026-06-12,1022.94,13,11,2,1751.49,108167
Retargeting - 30d,2026-06-12,796.7,9,4,5,1098.57,69936
Advantage+ Shopping,2026-06-12,637.84,9,7,2,1246.29,49717
Prospecting - Broad,2026-06-13,1026.83,12,10,2,1513.43,42172
Retargeting - 30d,2026-06-13,717.6,9,4,5,1147.25,46107
Advantage+ Shopping,2026-06-13,578.19,8,6,2,1097.32,57246
Prospecting - Broad,2026-06-14,785.09,11,9,2,1468.61,83380
Retargeting - 30d,2026-06-14,789.24,12,6,6,1650.4,58395
Advantage+ Shopping,2026-06-14,694.42,10,8,2,1342.44,86854
Prospecting - Broad,2026-06-15,1040.93,15,12,3,1809.57,49808
Retargeting - 30d,2026-06-15,799.29,11,5,6,1425.24,49493
Advantage+ Shopping,2026-06-15,615.34,7,5,2,994.77,56979
Prospecting - Broad,2026-06-16,1026.1,15,12,3,1958.33,102033
Retargeting - 30d,2026-06-16,835.29,13,6,7,1722.69,43967
Advantage+ Shopping,2026-06-16,620.93,11,8,3,1526.24,90113
Prospecting - Broad,2026-06-17,746.0,13,11,2,1588.18,51881
Retargeting - 30d,2026-06-17,866.59,12,6,6,1756.73,83273
